1E-05 1,25E-11 2,5E-06
0,222379527495454 0,00615393849797195 0,0551179892213138
0,226470381579366 0,00638145691876848 0,0561146901690211
0,230623618783103 0,00661661397774919 0,0571256289388022
0,234840064105028 0,0068596427846749 0,0581509445389732
0,239120555391672 0,0071107830311858 0,0591907760201717
0,243465943704643 0,00737028117349153 0,0602452624221705
0,24787709370265 0,00763839062073153 0,0613145427177913
0,252354884039357 0,00791537192922992 0,0623987557537646
0,256900207777798 0,00820149300287869 0,0634980401883714
0,261513972822115 0,00849702929989587 0,0646125344256919
0,266197102367415 0,00880226404621453 0,0657423765462688
0,270950535368615 0,00911748845577594 0,0668877042339961
0,275775227029153 0,0094430019580091 0,0680486546990147
0,280672149310522 0,00977911243279758 0,0692253645963994
0,285642291463603 0,0101261364532456 0,0704179699403916
0,290686660582843 0,0104843995365739 0,0716266060139281
0,2958062821844 0,0108542364034937 0,0728514072731984
0,30100220080937 0,0112359912464198 0,0740925072469346
0,306275480653375 0,011630018006911 0,0753500384301389
0,311627206223757 0,0120366806627374 0,0766241321719105
0,317058483025777 0,0124563535250022 0,0779149185570335
0,322570438279234 0,0128894215457631 0,079222526280945
0,328164221667028 0,013336280636624 0,0805470825176874
0,333841006117291 0,013797337998794 0,0818887127804247
0,339601988620744 0,0142730124651334 0,0832475407740575
0,345448391085115 0,0147637348547368 0,0846236882394574
0,351381461228506 0,0152699483406355 0,0860172747888009
0,357402473513691 0,0157921088312246 0,0874284177314354
0,363512730125492 0,0163306853660613 0,088857231889684
0,369713561993488 0,0168861605267119 0,0903038294039478
0,376006329862405 0,0174590308633614 0,0917683195264101
0,382392425412757 0,0180498073379404 0,0932508084026094
0,388873272434347 0,0186590157845623 0,0947513988400757
0,395450328055532 0,0192871973881114 0,0962701900631847
0,402125084031197 0,0199349091818632 0,0978072774533011
0,408899068092643 0,0206027245650697 0,0993627522732221
0,41577384536275 0,0212912338414905 0,10093670137485
0,42275101984002 0,0220010447799098 0,102529206888946
0,429832235955291 0,0227327831977289 0,104140345895726
0,437019180205122 0,0234870935687848 0,105770190074944
0,444313582866184 0,0242646396566137 0,107418805334032
