101 	 -0,25 	 2
103 	 -0,3 	 2
104,915391539154 0,0222225675656809
104,921192119212 0,0222347860574192
104,92699269927 0,0222470146206915
104,932793279328 0,0222592532665608
104,938593859386 0,0222715020061053
104,944394439444 0,0222837608504185
104,950195019502 0,022296029810609
104,95599559956 0,0223083088978008
104,961796179618 0,0223205981231331
104,967596759676 0,0223328974977603
104,973397339734 0,0223452070328524
104,979197919792 0,0223575267395945
104,98499849985 0,0223698566291871
104,990799079908 0,0223821967128464
104,996599659966 0,0223945470018037
105,002400240024 0,0224069075073059
105,008200820082 0,0224192782406154
105,01400140014 0,0224316592130101
105,019801980198 0,0224440504357833
105,025602560256 0,0224564519202441
105,031403140314 0,022468863677717
105,037203720372 0,0224812857195422
105,04300430043 0,0224937180570755
105,048804880488 0,0225061607016885
105,054605460546 0,0225186136647682
105,060406040604 0,0225310769577176
105,066206620662 0,0225435505919553
105,07200720072 0,0225560345789157
105,077807780778 0,022568528930049
105,083608360836 0,0225810336568213
105,089408940894 0,0225935487707143
105,095209520952 0,0226060742832259
105,10101010101 0,0226186102058696
105,106810681068 0,0226311565501751
105,112611261126 0,0226437133276879
105,118411841184 0,0226562805499693
105,124212421242 0,0226688582285971
105,1300130013 0,0226814463751646
105,135813581358 0,0226940450012816
105,141614161416 0,0227066541185736
105,147414741474 0,0227192737386825
105,153215321532 0,0227319038732661
105,15901590159 0,0227445445339987
105,164816481648 0,0227571957325704
105,170617061706 0,0227698574806879
105,176417641764 0,0227825297900738
105,182218221822 0,0227952126724672
105,18801880188 0,0228079061396234
105,193819381938 0,0228206102033141
105,199619961996 0,0228333248753273
105,205420542054 0,0228460501674673
105,211221122112 0,0228587860915551
105,21702170217 0,0228715326594278
105,222822282228 0,0228842898829392
105,228622862286 0,0228970577739595
105,234423442344 0,0229098363443753
105,240224022402 0,02292262560609
105,24602460246 0,0229354255710233
105,251825182518 0,0229482362511118
105,257625762576 0,0229610576583085
105,263426342634 0,0229738898045832
105,269226922692 0,0229867327019223
105,27502750275 0,0229995863623288
105,280828082808 0,0230124507978227
105,286628662866 0,0230253260204407
105,292429242924 0,0230382120422361
105,298229822982 0,0230511088752792
105,30403040304 0,0230640165316571
105,309830983098 0,023076935023474
105,315631563156 0,0230898643628506
105,321432143214 0,0231028045619249
105,327232723272 0,0231157556328516
105,33303330333 0,0231287175878025
105,338833883388 0,0231416904389666
105,344634463446 0,0231546741985497
105,350435043504 0,0231676688787747
105,356235623562 0,0231806744918819
105,36203620362 0,0231936910501283
105,367836783678 0,0232067185657884
105,373637363736 0,0232197570511537
105,379437943794 0,0232328065185331
105,385238523852 0,0232458669802527
105,39103910391 0,0232589384486558
105,396839683968 0,023272020936103
105,402640264026 0,0232851144549724
105,408440844084 0,0232982190176593
105,414241424142 0,0233113346365766
105,4200420042 0,0233244613241543
105,425842584258 0,0233375990928402
105,431643164316 0,0233507479550995
105,437443744374 0,0233639079234148
105,443244324432 0,0233770790102862
105,44904490449 0,0233902612282317
105,454845484548 0,0234034545897866
105,460646064606 0,0234166591075039
105,466446644664 0,0234298747939543
105,472247224722 0,0234431016617262
105,47804780478 0,0234563397234258
105,483848384838 0,0234695889916769
105,489648964896 0,0234828494791212
105,495449544954 0,0234961211984181
105,501250125013 0,023509404162245
105,507050705071 0,0235226983832971
105,512851285129 0,0235360038742874
105,518651865187 0,0235493206479469
105,524452445245 0,0235626487170248
105,530253025303 0,023575988094288
105,536053605361 0,0235893387925215
105,541854185419 0,0236027008245284
105,547654765477 0,02361607420313
105,553455345535 0,0236294589411653
105,559255925593 0,023642855051492
105,565056505651 0,0236562625469856
105,570857085709 0,02366968144054
105,576657665767 0,0236831117450673
105,582458245825 0,0236965534734977
105,588258825883 0,02371000663878
105,594059405941 0,0237234712538811
105,599859985999 0,0237369473317863
105,605660566057 0,0237504348854995
105,611461146115 0,0237639339280429
105,617261726173 0,023777444472457
105,623062306231 0,023790966531801
105,628862886289 0,0238045001191525
105,634663466347 0,0238180452476078
105,640464046405 0,0238316019302816
105,646264626463 0,0238451701803074
105,652065206521 0,0238587500108372
105,657865786579 0,0238723414350418
105,663666366637 0,0238859444661106
105,669466946695 0,0238995591172518
105,675267526753 0,0239131854016925
105,681068106811 0,0239268233326783
105,686868686869 0,0239404729234739
105,692669266927 0,0239541341873628
105,698469846985 0,0239678071376475
105,704270427043 0,0239814917876492
105,710071007101 0,0239951881507083
105,715871587159 0,0240088962401841
105,721672167217 0,024022616069455
105,727472747275 0,0240363476519183
105,733273327333 0,0240500910009906
105,739073907391 0,0240638461301075
105,744874487449 0,0240776130527238
105,750675067507 0,0240913917823136
105,756475647565 0,0241051823323701
105,762276227623 0,0241189847164058
105,768076807681 0,0241327989479525
105,773877387739 0,0241466250405613
105,779677967797 0,0241604630078028
105,785478547855 0,0241743128632668
105,791279127913 0,0241881746205626
105,797079707971 0,0242020482933191
105,802880288029 0,0242159338951845
105,808680868087 0,0242298314398266
105,814481448145 0,0242437409409328
105,820282028203 0,02425766241221
105,826082608261 0,0242715958673849
105,831883188319 0,0242855413202037
105,837683768377 0,0242994987844325
105,843484348435 0,0243134682738567
105,849284928493 0,0243274498022821
105,855085508551 0,0243414433835337
105,860886088609 0,0243554490314567
105,866686668667 0,024369466759916
105,872487248725 0,0243834965827965
105,878287828783 0,024397538514003
105,884088408841 0,0244115925674603
105,889888988899 0,024425658757113
105,895689568957 0,0244397370969262
105,901490149015 0,0244538276008845
